location,date,diet,Species,Sex,Age,15N,13C,tissue
a,12/16/2013,insects,Molossus_molossus,M,J,9.75,-15.84,fur
a,12/16/2013,fruits,Artibeus_lituratus,M,J,8.98,-25.06,fur
b,12/17/2013,nectar,Glossophaga_soricina,M,A,11.04,-21.87,fur
b,12/17/2013,nectar,Glossophaga_soricina,M,A,10.52,-22.33,fur
c,01/09/2014,insects,Molossus_molossus,F,J,11.31,-17.44,fur
d,3/14/2014,nectar,Glossophaga_soricina,F,J,9.36,-24.09,fur
d,3/14/2014,nectar,Glossophaga_soricina,M,A,10.96,-22.74,fur
e,05/05/2014,insects,Molossus_molossus,F,A,9.71,-14.19,fur
e,05/05/2014,insects,Molossus_molossus,F,A,9.69,-14.36,fur
f,5/22/2014,insects,Molossus_molossus,M,A,9.98,-14.57,fur
g,05/06/2014,fruits,Artibeus_lituratus,F,A,8.54,-24.6,fur
g,05/06/2014,fruits,Artibeus_lituratus,M,A,8.2,-24.86,fur
g,05/06/2014,fruits,Artibeus_lituratus,F,A,8.37,-24.82,fur
g,05/06/2014,fruits,Sturnira_lilium,F,A,7.55,-25.02,fur
g,05/06/2014,fruits,Sturnira_lilium,M,A,9.44,-25.84,fur
g,05/06/2014,fruits,Artibeus_lituratus,F,A,7.18,-24.74,fur
g,05/06/2014,fruits,Artibeus_lituratus,M,A,7.27,-24.97,fur
g,05/06/2014,fruits,Artibeus_lituratus,M,A,8.28,-24.87,fur
g,05/06/2014,fruits,Artibeus_lituratus,F,A,7.09,-24.41,fur
g,05/06/2014,fruits,Artibeus_lituratus,F,A,8.24,-24.63,fur
g,05/06/2014,fruits,Artibeus_lituratus,F,A,7.13,-25.01,fur
h,6/26/2014,fruits,Artibeus_lituratus,F,A,7.64,-24.46,fur
h,6/26/2014,fruits,Artibeus_lituratus,M,A,9.32,-23.66,fur
h,6/26/2014,fruits,Artibeus_lituratus,M,A,8.76,-23.53,fur
h,6/26/2014,fruits,Artibeus_lituratus,F,A,8.25,-24.8,fur
i,8/21/2014,fruits,Artibeus_lituratus,M,A,6.22,-25,fur
i,8/21/2014,fruits,Artibeus_lituratus,M,A,8.99,-25.29,fur
i,8/21/2014,fruits,Artibeus_lituratus,F,A,9.21,-24.82,fur
i,8/21/2014,fruits,Artibeus_lituratus,F,A,7.39,-24,fur
i,8/21/2014,fruits,Artibeus_lituratus,F,A,8.74,-24.56,fur
i,8/21/2014,fruits,Artibeus_lituratus,F,A,8.23,-24.76,fur
i,8/21/2014,fruits,Artibeus_lituratus,M,A,8.48,-24.49,fur
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,7.24,-25.68,fur
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,8.3,-25.56,fur
i,8/21/2014,insects,Molossops_temminckii,F,A,9.66,-17.95,fur
i,8/21/2014,insects,Molossus_rufus,M,A,9.9,-16.3,fur
i,8/21/2014,insects,Molossus_rufus,M,A,9.82,-15.97,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.48,-14.78,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.63,-15.86,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.63,-16.56,fur
i,8/21/2014,insects,Molossus_molossus,M,A,10.11,-16.06,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.29,-14.58,fur
i,8/21/2014,insects,Molossus_rufus,F,J,10.36,-15.25,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.61,-14.97,fur
i,8/21/2014,insects,Molossus_molossus,M,A,8.94,-16.1,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.19,-15.51,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.2,-15.89,fur
i,8/21/2014,insects,Molossus_molossus,M,A,8.93,-16.37,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.16,-15.43,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.18,-16.65,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.23,-14.71,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.27,-16.72,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.66,-15.78,fur
i,8/21/2014,insects,Molossus_molossus,M,A,9.03,-14.74,fur
i,8/21/2014,insects,Molossus_molossus,M,A,8.97,-15.37,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.16,-15.83,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.12,-15.64,fur
i,8/21/2014,insects,Molossus_molossus,M,A,8.87,-15.37,fur
i,8/21/2014,insects,Molossus_molossus,F,A,8.83,-14.67,fur
i,8/21/2014,insects,Molossus_molossus,F,A,9.62,-15.09,fur
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.04,-26.01,fur
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,9.31,-25.61,fur
k,6/25/2015,nectar,Artibeus_planirostris,F,A,7.09,-25.66,fur
k,6/25/2015,fruits,Molossus_molossus,F,A,11.34,-16.57,fur
l,6/26/2015,insects,Glossophaga_soricina,M,A,8.81,-22.52,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,9.5,-23.13,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,J,9.99,-22.3,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,9.36,-22.3,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,9.09,-23.44,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,11.66,-20.48,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,10.95,-22.31,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,10.57,-22.86,fur
l,6/26/2015,nectar,Glossophaga_soricina,F,A,11.99,-21.46,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,10.92,-21.71,fur
l,6/26/2015,nectar,Glossophaga_soricina,M,A,10.96,-20.8,fur
l,6/26/2015,nectar,Glossophaga_soricina,F,A,10.6,-22.32,fur
a,12/16/2013,insects,Molossus_molossus,M,J,9.8,-15.83,membrane
a,12/16/2013,fruits,Artibeus_lituratus,M,J,10.03,-24.76,membrane
b,12/17/2013,nectar,Glossophaga_soricina,M,A,12.27,-21.7,membrane
b,12/17/2013,nectar,Glossophaga_soricina,M,A,12.06,-21.93,membrane
c,01/09/2014,insects,Molossus_molossus,F,J,12.52,-17.2,membrane
d,3/14/2014,nectar,Glossophaga_soricina,F,J,9.72,-22.48,membrane
d,3/14/2014,nectar,Glossophaga_soricina,M,A,10.94,-22,membrane
e,05/05/2014,insects,Molossus_molossus,F,A,10.09,-13.39,membrane
e,05/05/2014,insects,Molossus_molossus,F,A,10.13,-13.69,membrane
f,5/22/2014,insects,Molossus_molossus,M,A,9.92,-14.46,membrane
g,05/06/2014,fruits,Artibeus_lituratus,F,A,9.59,-24.43,membrane
g,05/06/2014,fruits,Artibeus_lituratus,M,A,10.75,-24.53,membrane
g,05/06/2014,fruits,Artibeus_lituratus,F,A,9.17,-24.49,membrane
g,05/06/2014,fruits,Sturnira_lilium,F,A,9.25,-24.96,membrane
g,05/06/2014,fruits,Sturnira_lilium,M,A,9.24,-24.16,membrane
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,membrane
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,membrane
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
h,6/26/2014,fruits,Artibeus_lituratus,F,A,8.6,-25.45,membrane
h,6/26/2014,fruits,Artibeus_lituratus,M,A,9.98,-24.47,membrane
h,6/26/2014,fruits,Artibeus_lituratus,M,A,8.41,-25.15,membrane
h,6/26/2014,fruits,Artibeus_lituratus,F,A,9.78,-25.17,membrane
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,membrane
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,membrane
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,membrane
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,membrane
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,7.93,-25.64,membrane
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,10.84,-25.33,membrane
i,8/21/2014,insects,Molossops_temminckii,F,A,10.35,-18.92,membrane
i,8/21/2014,insects,Molossus_rufus,M,A,10.11,-17.34,membrane
i,8/21/2014,insects,Molossus_rufus,M,A,10.1,-15.43,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.93,-16.09,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.5,-17.53,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.5,-18.15,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.86,-17.08,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.99,-16.31,membrane
i,8/21/2014,insects,Molossus_rufus,F,J,10.62,-15.19,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.56,-16.91,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.19,-15.61,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.63,-17.06,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.3,-16.99,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10,-17.3,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,10.19,-16.75,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.34,-18.16,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.86,-16.5,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.44,-18.33,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.52,-18.24,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.8,-15.5,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.7,-16.54,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,9.78,-18.03,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.08,-16.32,membrane
i,8/21/2014,insects,Molossus_molossus,M,A,9.89,-17.65,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.36,-15.4,membrane
i,8/21/2014,insects,Molossus_molossus,F,A,10.28,-15.75,membrane
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.64,-25.94,membrane
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,9.85,-25.69,membrane
k,6/25/2015,nectar,Artibeus_planirostris,F,A,8.03,-26.11,membrane
k,6/25/2015,fruits,Molossus_molossus,F,A,10.89,-17.72,membrane
l,6/26/2015,insects,Glossophaga_soricina,M,A,12.14,-21.61,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,11.5,-22.62,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,J,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,F,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,membrane
l,6/26/2015,nectar,Glossophaga_soricina,F,A,11.07,-23.66,membrane
a,12/16/2013,insects,Molossus_molossus,M,J,9.36,-16.27,liver
a,12/16/2013,fruits,Artibeus_lituratus,M,J,NA,NA,liver
b,12/17/2013,nectar,Glossophaga_soricina,M,A,9.87,-25.85,liver
b,12/17/2013,nectar,Glossophaga_soricina,M,A,11.88,-21.25,liver
c,01/09/2014,insects,Molossus_molossus,F,J,NA,NA,liver
d,3/14/2014,nectar,Glossophaga_soricina,F,J,10,-22.9,liver
d,3/14/2014,nectar,Glossophaga_soricina,M,A,10.67,-22.1,liver
e,05/05/2014,insects,Molossus_molossus,F,A,NA,NA,liver
e,05/05/2014,insects,Molossus_molossus,F,A,10.19,-12.3,liver
f,5/22/2014,insects,Molossus_molossus,M,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,10.49,-24.73,liver
g,05/06/2014,fruits,Artibeus_lituratus,M,A,10.65,-25.42,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,8.77,-25.08,liver
g,05/06/2014,fruits,Sturnira_lilium,F,A,9.16,-25.22,liver
g,05/06/2014,fruits,Sturnira_lilium,M,A,8.41,-24.79,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
h,6/26/2014,fruits,Artibeus_lituratus,F,A,8.49,-26.19,liver
h,6/26/2014,fruits,Artibeus_lituratus,M,A,8.82,-26.17,liver
h,6/26/2014,fruits,Artibeus_lituratus,M,A,7.35,-26.14,liver
h,6/26/2014,fruits,Artibeus_lituratus,F,A,9.8,-26.68,liver
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,liver
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,liver
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,8.64,-25.86,liver
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,10.24,-25.77,liver
i,8/21/2014,insects,Molossops_temminckii,F,A,9.62,-19.59,liver
i,8/21/2014,insects,Molossus_rufus,M,A,8.31,-18.76,liver
i,8/21/2014,insects,Molossus_rufus,M,A,9.21,-15.67,liver
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.19,-18.53,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.31,-18.75,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.03,-17.37,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.97,-16.77,liver
i,8/21/2014,insects,Molossus_rufus,F,J,8.82,-15.8,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.64,-17.64,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.36,-16.43,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.99,-17.11,liver
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,liver
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.47,-17.35,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.33,-18.52,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.72,-17.5,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.67,-19.11,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.52,-19.56,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.59,-16.19,liver
i,8/21/2014,insects,Molossus_molossus,M,A,8.91,-17.23,liver
i,8/21/2014,insects,Molossus_molossus,F,A,8.22,-18.58,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.29,-17.56,liver
i,8/21/2014,insects,Molossus_molossus,M,A,9.14,-18.65,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.5,-15.85,liver
i,8/21/2014,insects,Molossus_molossus,F,A,9.8,-17.14,liver
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.75,-27.65,liver
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,10.63,-27.42,liver
k,6/25/2015,nectar,Artibeus_planirostris,F,A,8.72,-27.9,liver
k,6/25/2015,fruits,Molossus_molossus,F,A,7.55,-21.45,liver
l,6/26/2015,insects,Glossophaga_soricina,M,A,10.62,-22.93,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,9.48,-23.9,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,J,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,F,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,liver
l,6/26/2015,nectar,Glossophaga_soricina,F,A,9.5,-23.54,liver
a,12/16/2013,insects,Molossus_molossus,M,J,NA,NA,stomach
a,12/16/2013,fruits,Artibeus_lituratus,M,J,NA,NA,stomach
b,12/17/2013,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
b,12/17/2013,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
c,01/09/2014,insects,Molossus_molossus,F,J,NA,NA,stomach
d,3/14/2014,nectar,Glossophaga_soricina,F,J,NA,NA,stomach
d,3/14/2014,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
e,05/05/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
e,05/05/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
f,5/22/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,M,A,8.42,-25.1,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,9.44,-25.45,stomach
g,05/06/2014,fruits,Sturnira_lilium,F,A,NA,NA,stomach
g,05/06/2014,fruits,Sturnira_lilium,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
g,05/06/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
h,6/26/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
h,6/26/2014,fruits,Artibeus_lituratus,M,A,8.12,-26.18,stomach
h,6/26/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
h,6/26/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Artibeus_lituratus,M,A,NA,NA,stomach
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,NA,NA,stomach
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossops_temminckii,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_rufus,M,A,8.37,-23.4,stomach
i,8/21/2014,insects,Molossus_rufus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,5.53,-21.49,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_rufus,F,J,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,5.89,-24.63,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,4.82,-20.81,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,8.7,-29.2,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,6.98,-17.75,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,M,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
i,8/21/2014,insects,Molossus_molossus,F,A,NA,NA,stomach
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,8.44,-29.14,stomach
j,06/12/2015,fruits,Platyrrhinus lineatus,F,A,8.38,-29.31,stomach
k,6/25/2015,nectar,Artibeus_planirostris,F,A,7.28,-29.34,stomach
k,6/25/2015,fruits,Molossus_molossus,F,A,5.69,-22.38,stomach
l,6/26/2015,insects,Glossophaga_soricina,M,A,9.02,-24.14,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,7.32,-26.3,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,J,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,F,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,M,A,NA,NA,stomach
l,6/26/2015,nectar,Glossophaga_soricina,F,A,7.65,-23.72,stomach